Common name,Scientific name,Expansion,Color,PowerCategory,Power text,Predator,Flocking,Bonus card,Victory points,Nest type,Egg capacity,Wingspan,Forest,Grassland,Wetland,Invertebrate,Seed,Fish,Fruit,Rodent,Nectar,Wild (food),/ (food cost),* (food cost),Total food cost,Anatomist,Cartographer,Historian,Photographer,Backyard Birder,Bird Bander,Bird Counter,Bird Feeder,Diet Specialist,Enclosure Builder,Falconer,Fishery Manager,Food Web Expert,Forester,Large Bird Specialist,Nest Box Builder,Omnivore Expert,Passerine Specialist,Platform Builder,Prairie Manager,Rodentologist,Viticulturalist,Wetland Scientist,Wildlife Gardener,Caprimulgiform Specialist,Small Clutch Specialist,Endangered Species Protector,Beak Pointing Left,Beak Pointing Right,Note,id,additionalRulings/0/text,additionalRulings/0/source,additionalRulings/1/text,additionalRulings/1/source,rulings/0/text,rulings/0/source,additionalRulings/2/text,additionalRulings/2/source,additionalRulings/3/text,additionalRulings/3/source,additionalRulings/4/text,additionalRulings/4/source,rulings/1/text,rulings/1/source,rulings/2/text,rulings/2/source,additionalRulings/5/text,additionalRulings/5/source,additionalRulings/6/text,additionalRulings/6/source,rulings/3/text,rulings/3/source
Inca Dove,Columbina inca,originalcore,White,Egg-laying,Lay 1 [egg] on each of your birds with a [platform] nest.,,,,2,Platform,4,28,,X,,,2,,,,,,,,2,,X,,,X,,,X,,,,,,,,,,X,X,X,,,,,,,,X,,"This power allows you to lay eggs on all of your birds that have a specific nest symbol (and all birds with a star nest symbol), including the newly played bird.",154,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,,,
Indian Peafowl,Pavo cristatus,asia,White,,All players draw 2 [card] from the deck. You draw 1 additional [card].,,,,7,Ground,3,145,X,X,X,1,1,,,,,1,,,3,,X,,,,X,,X,X,X,,,,,X,,X,,,,,,,,,,,X,,You may draw the additional card from the deck or from the bird tray.,403,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,,,
Indian Vulture,Gyps indicus,asia,Yellow,,"Copy one bonus card of the player on your right, as if it were your own (score it based on your own birds).",,,X,0,Platform,1,227,,X,,,,,,,,,,,0,,X,,,X,,,,,,,,,,X,,,,X,X,,,,,,X,X,X,,"If you are playing with bonus cards hidden from other players, when this power is activated, the player reveals to you their bonus cards. <br>In a 2-player game, the Greater Adjutant and the Indian Vulture may both copy the same bonus card.",404,,,,,,,,,,,,,,,,,,,,,,
Indigo Bunting,Passerina cyanea,originalcore,Brown,Food from Birdfeeder,"Gain 1 [invertebrate] or [fruit] from the birdfeeder, if there is one.",,,,5,Bowl,3,20,X,X,,1,1,,1,,,,,,3,,,,X,,X,,X,X,,,,,,,,,X,,,,X,,X,,,,X,,,155,Regular reroll rules apply whenever you have the opportunity to gain food from the birdfeeder.,https://www.stonemaiergames.com/games/wingspan/rules/,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,"When using this bird's power, if all [die] in the birdfeeder show the same face you may reroll before taking food.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-30543,,,,,,,,,,,,,,,,
Juniper Titmouse,Baeolophus ridgwayi,originalcore,Brown,Caching Food,Gain 1 [seed] from the supply and cache it on this card.,,,,4,Cavity,3,23,X,,,1,1,,,,,,,,2,,,,,,,,X,,,,,,X,,X,,X,,,,,,,,,,X,,"The birds with these powers are known for caching extra food and saving it for later. As noted on these cards, you can cache exactly 1 food token when their power is activated by placing it on a bird card. Once a food token is cached on a bird card, you cannot spend it. Each token on the card at the end of the game is worth 1 point. If the same dice are showing in the birdfeeder, you may reroll to see if you meet the condition of the bird. If you run out of food tokens, you can cache cards instead.",156,You may only reroll dice when gaining food from the birdfeeder and not when gaining food from the supply.,https://www.boardgamegeek.com/thread/2208584/article/32288825#32288825,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,
Kea,Nestor notabilis,oceania,White,,Draw 1 bonus card. You may discard any number of [wild] to draw that many additional bonus cards. Keep 1 of the cards you drew and discard the rest.,,,X,5,Ground,2,90,X,X,,,,,1,,1,,,,2,,,,,,X,,,,X,,,,,X,,,,,,,X,,,,X,X,X,,"You first draw 1 bonus card, then decide how many additional cards you want to draw and discard the corresponding amount of food. This is a one-time decision.",298,"<i>""Discarding""</i> food while resolving a bird power counts as <i>""spending""</i>.",https://www.discord.com/channels/608588053052653580/693358238439047229/778341560205967380,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,
Kelp Gull,Larus dominicanus,oceania,Brown,Food-related,Discard any number of [wild] to draw that many [card].,,,,6,Ground,2,135,,,X,,,1,,,,1,,,2,,,,,,,,,,X,,X,,,X,,X,,,,,,X,,,X,,,X,,299,"<i>""Discarding""</i> food while resolving a bird power counts as <i>""spending""</i>.",https://www.discord.com/channels/608588053052653580/693358238439047229/778341560205967380,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,
Kererū,Hemiphaga novaeseelandiae,oceania,Brown,Other,"If the player to your left has a [nectar] in their personal supply, gain 1 [nectar] from the general supply.",,,,3,Platform,2,75,X,,,,,,1,,1,,,,2,,,,,X,,,,,,,,,X,X,,,,X,,,X,,,,X,,X,,,300,You may only reroll dice when gaining food from the birdfeeder and not when gaining food from the supply.,https://www.boardgamegeek.com/thread/2208584/article/32288825#32288825,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,
Killdeer,Charadrius vociferus,originalcore,Brown,Card-drawing,Discard 1 [egg] to draw 2 [card].,,,,1,Ground,3,46,,X,X,1,1,,,,,,X,,1,,,,,X,X,,X,,X,,,,,,,,,,,,,,,,,,X,,"This power adds cards to the wetland’s draw card(s) action, but it has a cost. Discard an egg to the supply. You cannot use this power if you have not laid any eggs yet.",157,"<i>""Discarding""</i> food while resolving a bird power counts as <i>""spending""</i>.",https://www.discord.com/channels/608588053052653580/693358238439047229/778341560205967380,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,
King Rail,Rallus elegans,originalcore,White,Other,Draw 2 new bonus cards and keep 1.,,,X,4,Platform,6,51,,,X,1,,1,,,,1,,,3,,,,,,,,,X,,,X,,,,,X,,X,,,,X,,,,X,X,,"Draw two goal cards, pick the one you want to keep, and discard the other. If the deck of goal cards is ever exhausted, shuffle the discards to form a new face-down deck. <br>The birds with this power are all threatened or endangered, or conservationists are concerned that they soon will be because of a declining trend in their population.",158,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,,,
Korimako,Anthornis melanura,oceania,Brown,Flocking,Discard any number of [rodent] to gain that many [nectar] from the supply.,,,,4,Bowl,3,22,X,,,1,,,1,,1,,,,3,,,,,,,,,X,,,,,X,,,,X,,,,X,,X,,,,X,,,301,"<i>""Discarding""</i> food while resolving a bird power counts as <i>""spending""</i>.",https://www.discord.com/channels/608588053052653580/693358238439047229/778341560205967380,You may only reroll dice when gaining food from the birdfeeder and not when gaining food from the supply.,https://www.boardgamegeek.com/thread/2208584/article/32288825#32288825,,,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,
Kākāpō,Strigops habroptila,oceania,Yellow,Other,"Draw 4 bonus cards, keep 1, and discard the other 3.",,,X,4,Ground,2,*,X,,,,1,,1,,,,,,2,,,,,,,,X,,X,,,,X,X,,,,,,,X,,,,X,X,,,,302,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,,,
Large-Billed Crow,Corvus macrorhynchos,asia,Brown,,"Cache 1 [wild] from your supply on any bird. If you do, you may tuck 1 [card] from your hand behind this bird.",,X,,6,Platform,2,115,X,X,X,,1,,,,,1,,,2,X,,,,,X,X,X,,,,,,,X,,X,,X,,,,,,,X,,,X,"For these powers, the birds that you cache food on do not need to have a caching power themselves. <br><br>The number of caches allowed by the card (such as “each bird in this row”) is a maximum: you may cache less than this amount.",405,,,,,,,,,,,,,,,,,,,,,,
Laughing Kookaburra,Dacelo novaeguineae,oceania,Brown,Other,"Reset the birdfeeder. If you do, gain 1 [invertebrate], [fish], or [rodent], if there is one.",X,,,1,Cavity,3,60,X,X,X,1,,1,,1,,,X,,1,,,,,X,X,,,,,X,X,,,,X,,,,,X,,,,,,,X,,"You gain a total of 1 food. Remove the die from the birdfeeder when you gain the food, as you would normally.",303,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,,,
Lazuli Bunting,Passerina amoena,originalcore,Brown,Egg-laying,All players lay 1 [egg] on any 1 [bowl] bird. You may lay 1 [egg] on 1 additional [bowl] bird.,,,,4,Bowl,4,23,,X,,1,1,,1,,,,,,3,,,,X,,,,X,X,,,,,,,,,X,,X,,X,,X,,,,,X,"This power allows you to lay an egg on 1 or 2 birds with a specific nest symbol (or a star). All other players can lay an egg on 1 bird with that nest symbol (or a star), if they have one.",159,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,"If you use this bird's power to lay 2 [egg], they must be laid on different [bowl]/[star] birds.",https://www.facebook.com/groups/wingspanboardgame/permalink/322004815169794/?comment_id=322006528502956,,,,,,,,,,,,,,,,
Lesser Frigatebird,Fregata ariel,oceania,Brown,Flocking,All players may discard 1 [egg] from a [wetland] bird. Each player that discards an [egg] gains 1 [wild] from the supply.,,,,9,Platform,1,175,,,X,1,,2,,,,,,,3,,,,,,,,,X,,,X,,,X,,,,X,,,,X,,,X,,,X,,304,"<i>""Discarding""</i> food while resolving a bird power counts as <i>""spending""</i>.",https://www.discord.com/channels/608588053052653580/693358238439047229/778341560205967380,You may only reroll dice when gaining food from the birdfeeder and not when gaining food from the supply.,https://www.boardgamegeek.com/thread/2208584/article/32288825#32288825,,,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,
Lesser Whitethroat,Sylvia curruca,european,Teal,Egg-laying,Choose a habitat with no [egg]. Lay 1 [egg] on each bird in that habitat.,,,,0,Bowl,2,18,X,X,,1,,,1,,,,,,2,X,,,X,X,X,,,,,,,,,,,,X,,,,X,,X,,X,,X,,,160,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,,,
Lewin's Honeyeater,Meliphaga lewinii,oceania,Brown,Flocking,Choose 1 other player. you both gain 1 [nectar] from the supply.,,,,5,Bowl,2,29,X,,,,,,1,,1,,,,2,,,X,,,,,,,,,,,X,,,,X,,,,X,,X,,X,,,X,,305,You may only reroll dice when gaining food from the birdfeeder and not when gaining food from the supply.,https://www.boardgamegeek.com/thread/2208584/article/32288825#32288825,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,"As of the release of the Oceania Expansion, <i>honey</i> is no longer a keyword for the <strong applink=""/card/1023"">Photographer</strong> bonus card, and hence this bird do not qualify for it.",Oceania Expansion rulebook,,,,,,,,,,,,,,,,
Lincoln's Sparrow,Melospiza lincolnii,originalcore,Brown,Other,"If this bird is to the right of all other birds in its habitat, move it to another habitat.",,,,3,Ground,2,20,X,X,X,1,1,,,,,,,,2,,,X,,X,X,,X,,X,,,,,,,,X,,,,,,,,X,,,X,"These birds are all able to live in a variety of habitats, and their power is to move from habitat to habitat—but only if they’re the last bird in that row. (They can be in any column.) This can be powerful for increasing your abilities in multiple habitats, and for scoring on end-of-round goals. Be careful not to play another bird to the right of one of these cards, or you won’t be able to use its power!",161,,,,,"When using this bird's power to move this bird to another habitat, the action cube does not change habitats with it.",https://www.stonemaiergames.com/games/wingspan/rules/,,,,,,,,,,,,,,,,
Little Bustard,Tetrax tetrax,european,White,Other,Draw 1 new bonus card. Then gain 1 [card] or lay 1 [egg] on any bird.,,,X,4,Ground,2,110,,X,,1,1,,,,,,,,2,,,,,,,,X,,X,,,,,X,,,,,X,,,,,,X,X,X,,You may look at the bonus card you drew before doing the second part of these actions.,162,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,,,
Little Egret,Egretta garzetta,asia,Brown,,Draw 1 [card] from the deck and add it to your hand. All other players draw 1 [card] from the deck and keep it if it can live in [wetland].,,,,2,Platform,2,95,,,X,1,,1,,1,,,X,,1,,,,,X,,,,,,,X,,,X,,,,X,,X,,X,,,X,,,X,,406,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,,,
Little Grebe,Tachybaplus ruficollis,asia,Brown,,"For each bird in this column with an [egg] on it, draw 1 [card]. Keep 1 and discard the rest.",,,,4,Wild,5,42,,,X,2,,1,,,,,,,3,,,,,,,,,X,X,,X,,,,X,,,X,,,,X,X,,,,X,X,,407,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,,,
Little Owl,Athene noctua,european,Brown,Food-related,Steal 1 [rodent] from another player's supply and cache it on this bird. They gain 1 [die] from the birdfeeder.,,,,4,Cavity,2,56,X,X,,1,,,,1,,,,,2,,,,,,X,,,,,,,,,,X,,,,,X,,,,,X,,,,The food that the other player gains does not have to be the same type stolen.,163,Regular reroll rules apply whenever you have the opportunity to gain food from the birdfeeder.,https://www.stonemaiergames.com/games/wingspan/rules/,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,
Little Penguin,Eudyptula minor,oceania,Brown,Other,"Draw and discard 5 [card] from the deck. For each [fish] in their food costs, cache 1 [fish] from the supply on this bird.",X,,,7,Wild,2,*,,,X,,,3,,,,,,,3,,,,,,,,,X,X,X,X,,,X,X,,,X,,,,X,X,,X,,,X,,306,"<i>""Discarding""</i> food while resolving a bird power counts as <i>""spending""</i>.",https://www.discord.com/channels/608588053052653580/693358238439047229/778341560205967380,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,
